checkpoint,method,object,seed,final_lift_m,max_lift_m,normalized_lift_score,success,success_step,trajectory_id
epoch_050,baseline,jar,0,-8.64267349243164e-06,0.006460428237915039,0.021534760793050133,False,-1,14
epoch_050,baseline,jar,0,-0.0007507801055908203,0.02168881893157959,0.0722960631052653,False,-1,15
epoch_050,baseline,jar,0,-0.0005223751068115234,0.010309875011444092,0.03436625003814697,False,-1,16
epoch_050,baseline,jar,0,1.8477439880371094e-06,0.0017817020416259766,0.005939006805419922,False,-1,17
epoch_050,baseline,jar,0,-0.0005178451538085938,0.007021844387054443,0.023406147956848145,False,-1,18
epoch_050,baseline,jar,0,-1.1920928955078125e-07,0.008043944835662842,0.026813149452209473,False,-1,19
epoch_100,baseline,jar,0,-1.0132789611816406e-06,0.0097886323928833,0.032628774642944336,False,-1,0
epoch_100,baseline,jar,0,8.344650268554688e-07,0.006041169166564941,0.020137230555216473,False,-1,1
epoch_100,baseline,jar,0,0.5017061829566956,0.5017061829566956,1.0,True,56,2
epoch_100,baseline,jar,0,-0.0005101561546325684,0.009013712406158447,0.03004570802052816,False,-1,3
epoch_100,baseline,jar,0,-6.556510925292969e-06,0.006375610828399658,0.021252036094665527,False,-1,4
epoch_100,baseline,jar,0,0.5141062140464783,0.5141062140464783,1.0,True,59,5
epoch_100,baseline,jar,0,0.5022410750389099,0.5022410750389099,1.0,True,56,6
epoch_100,baseline,jar,0,-0.0007259249687194824,0.0029265284538269043,0.009755094846089682,False,-1,7
epoch_100,baseline,jar,0,-4.291534423828125e-06,0.00649791955947876,0.0216597318649292,False,-1,8
epoch_100,baseline,jar,0,0.5001104474067688,0.5001104474067688,1.0,True,54,9
epoch_100,baseline,jar,0,0.5027633309364319,0.5027633309364319,1.0,True,53,10
epoch_100,baseline,jar,0,-0.0005208849906921387,0.006238996982574463,0.020796656608581543,False,-1,11
epoch_100,baseline,jar,0,0.49767035245895386,0.49767035245895386,1.0,True,58,12
epoch_100,baseline,jar,0,-3.337860107421875e-06,0.009243547916412354,0.03081182638804118,False,-1,13
epoch_100,baseline,jar,0,-8.881092071533203e-06,0.0034042000770568848,0.011347333590189617,False,-1,14
epoch_100,baseline,jar,0,0.5129936933517456,0.5129936933517456,1.0,True,63,15
epoch_100,baseline,jar,0,-0.0006836652755737305,0.002416253089904785,0.008054176966349285,False,-1,16
epoch_100,baseline,jar,0,-5.960464477539063e-08,0.006564974784851074,0.021883249282836914,False,-1,17
epoch_100,baseline,jar,0,-0.0005222558975219727,0.006512105464935303,0.02170701821645101,False,-1,18
epoch_100,baseline,jar,0,1.6689300537109375e-06,0.006281614303588867,0.020938714345296226,False,-1,19
best,baseline,cellphone,0,2.086162567138672e-06,2.205371856689453e-06,7.351239522298178e-06,False,-1,0
best,baseline,cellphone,0,9.655952453613281e-06,0.004854559898376465,0.01618186632792155,False,-1,1
best,baseline,cellphone,0,2.384185791015625e-07,4.76837158203125e-07,1.5894571940104167e-06,False,-1,2
best,baseline,cellphone,0,0.5177015662193298,0.5242162346839905,1.0,True,54,3
best,baseline,cellphone,0,0.3986024856567383,0.3986024856567383,1.0,True,88,4
best,baseline,cellphone,0,-0.0010570287704467773,0.0044844746589660645,0.014948248863220215,False,-1,5
best,baseline,cellphone,0,-0.002259492874145508,0.0005415081977844238,0.0018050273259480796,False,-1,6
best,baseline,cellphone,0,0.42701226472854614,0.42701226472854614,1.0,True,84,7
best,baseline,cellphone,0,-0.0022569894790649414,0.000541985034942627,0.0018066167831420898,False,-1,8
best,baseline,cellphone,0,-0.0013241171836853027,0.0021979808807373047,0.007326602935791016,False,-1,9
best,baseline,cellphone,0,-0.002260446548461914,0.0005403757095336914,0.0018012523651123047,False,-1,10
best,baseline,cellphone,0,-0.0004824399948120117,0.0,0.0,False,-1,11
best,baseline,cellphone,0,-0.001059889793395996,0.004348158836364746,0.014493862787882488,False,-1,12
best,baseline,cellphone,0,-0.002261042594909668,0.0005391836166381836,0.0017972787221272788,False,-1,13
best,baseline,cellphone,0,4.89354133605957e-05,0.017519712448120117,0.058399041493733726,False,-1,14
best,baseline,cellphone,0,7.68899917602539e-06,0.050486207008361816,0.1682873566945394,False,-1,15
best,baseline,cellphone,0,-0.00227200984954834,0.0005310177803039551,0.0017700592676798503,False,-1,16
best,baseline,cellphone,0,0.008402049541473389,0.06067162752151489,0.20223875840504965,False,-1,17
best,baseline,cellphone,0,-0.014411866664886475,0.06886893510818481,0.22956311702728271,False,-1,18
best,baseline,cellphone,0,-6.026029586791992e-05,0.011493086814880371,0.03831028938293457,False,-1,19
best,baseline,cellphone,1,-0.028620362281799316,0.2522950768470764,0.8409835894902548,True,47,0
best,baseline,cellphone,1,5.960464477539063e-08,1.7881393432617188e-07,5.960464477539062e-07,False,-1,1
best,baseline,cellphone,1,2.384185791015625e-07,4.76837158203125e-07,1.5894571940104167e-06,False,-1,2
best,baseline,cellphone,1,-5.125999450683594e-06,0.0,0.0,False,-1,3
best,baseline,cellphone,1,-0.0016411542892456055,0.0006124973297119141,0.0020416577657063804,False,-1,4
best,baseline,cellphone,1,0.2250983715057373,0.2250983715057373,0.7503279050191244,True,114,5
best,baseline,cellphone,1,-0.002081632614135742,0.0015010237693786621,0.005003412564595541,False,-1,6
best,baseline,cellphone,1,-0.0016326308250427246,0.0005226731300354004,0.001742243766784668,False,-1,7
best,baseline,cellphone,1,-0.0022546052932739258,0.0005432367324829102,0.0018107891082763672,False,-1,8
best,baseline,cellphone,1,-0.0013115406036376953,0.002210557460784912,0.007368524869283041,False,-1,9
best,baseline,cellphone,1,-0.002257823944091797,0.0005407929420471191,0.001802643140157064,False,-1,10
best,baseline,cellphone,1,-0.0005359649658203125,0.0,0.0,False,-1,11
best,baseline,cellphone,1,-0.0013076066970825195,0.0022150278091430664,0.007383426030476889,False,-1,12
best,baseline,cellphone,1,-0.002258598804473877,0.0005409121513366699,0.0018030405044555664,False,-1,13
best,baseline,cellphone,1,7.480382919311523e-05,7.712841033935547e-05,0.00025709470113118493,False,-1,14
best,baseline,cellphone,1,6.99758529663086e-05,8.0108642578125e-05,0.00026702880859375,False,-1,15
best,baseline,cellphone,1,-0.0020728111267089844,0.0017134547233581543,0.005711515744527182,False,-1,16
best,baseline,cellphone,1,-1.0251998901367188e-05,0.0,0.0,False,-1,17
best,baseline,cellphone,1,7.587671279907227e-05,7.778406143188477e-05,0.0002592802047729492,False,-1,18
